StateCode,StateDeltaConfirmed,StateDeltaDeceased,StateDeltaRecovered,StateDeltaVaccinated1,StateDeltaVaccinated2,StateDelta7Confirmed,StateDelta7Deceased,StateDelta7Recovered,StateDelta7Vaccinated1,StateDelta7Vaccinated2,StateTotalConfirmed,StateTotalDeceased,StateTotalRecovered,StateTotalTested,StateTotalVaccinated1,StateTotalVaccinated2,StateLastUpdated,StatePopulation,StateNotes,StateTestedSource,StateTestedLastUpdated
AN,0,0,0,3,13,3,0,5,884,10640,7651,129,7518,598033,294001,200157,2021-11-01T11:03:10+05:30,397000,,https://dhs.andaman.gov.in/NewEvents/851.pdf,
AP,385,4,675,20497,24137,2873,30,3590,1223010,1887005,2066450,14373,2047722,29518787,32976969,20375181,2021-11-01T09:54:14+05:30,52221000,,https://twitter.com/ArogyaAndhra/status/1454748197272711177,
AR,1,0,9,42,195,66,0,97,3312,23647,55155,280,54774,1185436,771875,534486,2021-11-01T11:20:24+05:30,1504000,[July 25]: All numbers corresponding to Papum Pare and Captial Complex are tracked under Papum Pare district.,https://twitter.com/DirHealth_ArPr/status/1454823191751233544?s=20,
AS,212,1,236,19124,37463,2056,24,2215,274869,849889,610645,5997,600974,24712042,20172463,8068795,2021-11-01T09:54:14+05:30,34293000,[Jan 1]: 1347 cases i.e Covid +'tive patients dead for other reasons have been deducted fom active count.,https://twitter.com/nhm_assam/status/1454837285032103940?s=20,
BR,8,0,9,114694,145827,40,0,31,1286708,2144970,726098,9661,716390,50531824,49874828,18346781,2021-11-01T09:54:14+05:30,119520000,[June 9] : 3951 deceased cases have been reported in the bulletin after reconciliation of records by the authorities,https://twitter.com/BiharHealthDept/status/1454805874447290369?s=20,
CH,5,0,3,211,1282,28,0,20,3680,21641,65351,820,64495,792851,926035,546981,2021-11-01T09:54:14+05:30,1179000,,https://t.me/Covid19india_Auxiliary_Test_Data/11877,
CT,32,1,32,21312,39393,205,5,103,379374,604260,1006052,13577,992159,13709510,14851682,7343273,2021-11-01T09:54:14+05:30,28724000,,https://twitter.com/HealthCgGov/status/1454835690198298624?s=20,
DL,45,0,46,12482,11839,267,0,239,160323,269146,1439870,25091,1414431,29427753,13055636,7425404,2021-11-01T09:54:14+05:30,19814000,"[July 14]: Value for the total tests conducted has been reduced by 97008 in the state bulletin. Reason given : ""Reconciled with ICMR figures"". We have made the same change.",https://t.me/Covid19india_Auxiliary_Test_Data/11885,
DN,0,0,1,3,20,0,0,2,2802,14244,10681,4,10644,72410,660753,370255,2021-11-01T09:54:14+05:30,959000,,https://dddcovid19.in/uploads/report/BulletinDNHDD20102020.pdf,
GA,23,0,53,2572,12404,222,6,409,8418,46494,178108,3364,174392,1468399,1262568,911114,2021-11-01T09:54:14+05:30,1540000,,https://www.goa.gov.in/wp-content/uploads/2021/10/Media-Bulletin-31st-October-2021.pdf,
GJ,20,0,23,14685,62096,159,2,116,335172,1660382,826577,10089,816283,30928063,44735217,25972387,2021-11-01T09:54:14+05:30,67936000,,https://t.me/Covid19india_Auxiliary_Test_Data/11879,
HP,85,1,198,371,8192,1537,20,1154,13244,234011,224106,3738,218410,3685011,5713695,3443823,2021-11-01T09:54:14+05:30,7300000,,https://twitter.com/nhm_hp/status/1454810267364200449?s=20,
HR,11,0,10,7867,15801,95,0,87,160777,368141,771252,10049,761068,13032504,17772376,8115463,2021-11-01T09:54:14+05:30,28672000,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Daily%20Bulletin%20of%20COVID%2019%20as%20on%2031-10-2021.pdf,
JH,10,0,8,41034,51488,137,3,250,299587,428313,348764,5138,343518,15985878,14986646,5585648,2021-11-01T09:54:14+05:30,37403000,,https://t.me/Covid19india_Auxiliary_Test_Data/11884,
JK,95,0,79,1584,45202,611,3,572,33383,414843,332249,4432,326915,16202346,9511073,5149471,2021-11-01T09:54:14+05:30,13203000,,https://twitter.com/diprjk/status/1454804735307894787?s=20,
KA,292,11,345,17604,28163,2347,75,2339,623591,1373861,2988333,38082,2941578,50873103,42497761,22858384,2021-11-01T09:54:14+05:30,65798000,,https://t.co/pjWOnWUs3q?amp=1,
KL,7167,167,6439,2010,11914,53326,3089,48406,109805,792534,4968657,31681,4857181,37886378,25306499,13658343,2021-11-01T09:54:14+05:30,35125000,,https://dhs.kerala.gov.in/wp-content/uploads/2021/10/Bulletin-HFWD-English-October-31.pdf,
LA,11,0,9,0,2,58,0,28,525,1532,20962,208,20687,555568,208798,152280,2021-11-01T09:54:14+05:30,293000,,https://twitter.com/prasarbharti/status/1454872140436541444,
LD,0,0,0,0,4,0,0,0,69,796,10365,51,10270,263541,55129,45951,2021-11-01T11:03:10+05:30,68000,,https://t.me/Covid19india_Auxiliary_Test_Data/11888,
MH,1172,20,1399,53161,31988,8117,200,15146,1611778,1282938,6611078,140216,6450585,62667211,67198794,30975692,2021-11-01T09:54:14+05:30,122153000,"[Dec 16]:10,218 duplicate cases & other state cases removed from total cases.791 recovered cases also removed from total recovered cases while reconciling 
[Sep 9] :239 cases have been removed from the hospitalized figures owing to the removal of duplicates and change of addresses as per the original residence
[Aug 15] : MH bulletin has reduced 819 confirmed cases in Mumbai and 72 confirmed cases from 'Other States' from the tally
[Jun 16] : 1328 deceased cases have been retroactively added to MH bulletin.
[Jun 20] : 69 deceased cases have been reduced based on state bulletin.
[Sep 9 2021]: 15066 positive cases and 15793 discharged cases have been reduced from state total based on reconciliation (as mentioned in the bulletin)",https://twitter.com/PIBMumbai/status/1454819081123598345,
ML,22,1,51,38,203,256,4,460,7871,41927,83627,1450,81746,1151665,1103275,641819,2021-11-01T09:54:14+05:30,3224000,,https://t.me/Covid19india_Auxiliary_Test_Data/11881,
MN,63,1,62,705,4283,439,10,652,7665,71276,123731,1921,121102,1367673,1249436,719413,2021-11-01T09:54:14+05:30,3103000,[Dec 14]:824 out of 980 recovered cases are backdated.,https://nrhmmanipur.org/?p=8037,
MP,16,0,8,5713,77062,105,1,74,148817,2034460,792854,10524,782215,20294225,49911938,20838045,2021-11-01T09:54:14+05:30,82232000,"[14 Oct'20]: 4469 confirmed cases and 4469 recoveries added in MP bulletin as reconciliation with private labs and hospitals
[12 July'21] :1478 deceased cases have been added after reconciliation of deceased cases records from Home Isolation(208), Private Hospitals(762) and other districts data (508)",https://twitter.com/healthminmp/status/1454818706534514697,
MZ,579,2,610,10,51,4098,21,5685,4302,11262,121359,432,114612,1298444,711597,512029,2021-11-01T09:54:14+05:30,1192000,,https://dipr.mizoram.gov.in/post/covid-19-positive-thar-579-hmuhchhuah-a-ni,
NL,11,1,21,193,822,130,6,144,4706,23628,31842,685,29904,395416,709553,490663,2021-11-01T09:54:14+05:30,2150000,,https://twitter.com/MyGovNagaland/status/1454788808122138641,
OR,488,4,450,21420,25651,3046,24,3230,731837,917236,1041457,8386,1029147,21994343,25736641,11560912,2021-11-01T09:54:14+05:30,43671000,[July 12th] :20 non-covid deaths reported in state dashboard are included in the deceased count,https://t.me/Covid19india_Auxiliary_Test_Data/11880,
PB,26,1,25,3321,4418,192,8,162,200182,223256,602401,16559,585591,15429415,15942714,6238973,2021-11-01T09:54:14+05:30,29859000,,https://t.me/Covid19india_Auxiliary_Test_Data/11874,
PY,38,0,45,171,532,278,0,315,8324,20073,128013,1857,125726,1919060,733922,404355,2021-11-01T09:54:14+05:30,1504000,,https://t.me/Covid19india_Auxiliary_Test_Data/11866,
RJ,2,0,2,9399,29672,27,0,26,271500,864947,954429,8954,945443,14807752,42544909,20097635,2021-11-01T09:54:14+05:30,77264000,,https://t.me/Covid19india_Auxiliary_Test_Data/11883,
SK,21,1,8,0,0,79,2,76,782,14044,31979,396,31063,261343,521763,451509,2021-10-31T20:49:45+05:30,664000,,https://t.me/Covid19india_Auxiliary_Test_Data/11867,
TG,121,1,183,38781,26738,1189,9,1121,1072389,961422,671463,3956,663498,27569831,22498559,9772398,2021-11-01T09:54:14+05:30,37220000,"[July 27] : Telangana bulletin for the previous day is released on the next day. We will add the cases for Telangana against the date of release, as that is the convention that we are following for other states.",https://twitter.com/IPRTelangana/status/1454809941366083585,
